Zeit (s),Hoehe (m)
0.0,49.93175839467537
2.0202020202020203,52.11727320291297
4.040404040404041,50.0624468191306
6.0606060606060606,50.382716695925915
8.080808080808081,51.510682642511355
10.101010101010102,51.343010278864746
12.121212121212121,53.527202765751916
14.141414141414142,51.710795253880924
16.161616161616163,52.02886282446372
18.181818181818183,53.11893153394089
20.202020202020204,53.433333670790994
22.222222222222225,56.22909568910054
24.242424242424242,55.6101639313147
26.262626262626263,55.10186628975942
28.282828282828284,54.13426676554182
30.303030303030305,56.5407040454912
32.323232323232325,55.0234665716308
34.343434343434346,54.79641943056763
36.36363636363637,57.83637842841576
38.38383838383839,57.26159749385116
40.40404040404041,58.150484438575425
42.42424242424243,57.821523340026566
44.44444444444445,58.620549824909304
46.46464646464647,57.360944703078886
48.484848484848484,57.21290088400855
50.505050505050505,59.150450154311464
52.525252525252526,57.87333447045559
54.54545454545455,58.18092011484436
56.56565656565657,58.5941841947481
58.58585858585859,59.23167113248587
60.60606060606061,59.00963333978937
62.62626262626263,58.12282731970852
64.64646464646465,58.97280868638531
66.66666666666667,57.4959758614087
68.68686868686869,60.4316977926365
70.70707070707071,58.27548926799409
72.72727272727273,58.82812139787512
74.74747474747475,60.02341515629521
76.76767676767678,59.25415670376246
78.7878787878788,61.54289152570283
80.80808080808082,58.69685480751012
82.82828282828284,60.230291522630885
84.84848484848486,59.88122412798854
86.86868686868688,58.693486851004465
88.8888888888889,60.30983370519013
90.90909090909092,59.524013160600994
92.92929292929294,60.360526773520704
94.94949494949496,60.28976575389436
96.96969696969697,61.49157148494176
98.98989898989899,60.51171111074052
101.01010101010101,58.637872624087116
103.03030303030303,58.58484469075334
105.05050505050505,59.726649403961304
107.07070707070707,59.07093795012366
109.0909090909091,58.83075355132187
111.11111111111111,56.335244525919656
113.13131313131314,57.67647289687604
115.15151515151516,56.69879682295267
117.17171717171718,57.44064217286407
119.1919191919192,56.77476884140373
121.21212121212122,57.48408137492034
123.23232323232324,56.58137357077717
125.25252525252526,56.730511448615374
127.27272727272728,55.14809004154711
129.2929292929293,54.331224170702626
131.31313131313132,54.51817073268669
133.33333333333334,54.55570585249668
135.35353535353536,54.58891994404672
137.37373737373738,56.099247646500345
139.3939393939394,53.42158423620191
141.41414141414143,52.12614517440799
143.43434343434345,52.34932640014266
145.45454545454547,51.84053074653129
147.4747474747475,52.39066579624605
149.4949494949495,49.970328615703906
151.51515151515153,51.17386237544162
153.53535353535355,50.86476887682483
155.55555555555557,50.53694926127013
157.5757575757576,49.30346057998822
159.5959595959596,49.25902530184572
161.61616161616163,47.66987762068339
163.63636363636365,48.19908907627805
165.65656565656568,47.75015224791418
167.6767676767677,48.312454787427576
169.69696969696972,46.347046950250814
171.71717171717174,47.89532751450567
173.73737373737376,48.224224491857626
175.75757575757578,44.28070338601447
177.7777777777778,46.403852246890835
179.79797979797982,46.28797228716873
181.81818181818184,44.61426186622537
183.83838383838386,44.502812199988725
185.85858585858588,44.42391297062135
187.8787878787879,43.9245969548579
189.89898989898992,43.58839974196931
191.91919191919195,41.90639481747614
193.93939393939394,44.430191323694594
195.95959595959596,44.06391179631956
197.97979797979798,41.88881387895442
200.0,40.9655507191182
